Judet;CIF Entitate Publica;Denumire Entitate Publica;Denumire UAT pe raza careia isi desfasoara activitatea;Adresa de corespondenta;CIF Ordonator  principal  de credite (1);Denumire ordonator  principal de credite (1);CIF Ordonator  principal  de credite (2);Denumire ordonator  principal de credite (2)
Maramures;3626913;COMUNA BOIU MARE;Comuna Boiu Mare;Maramures, Comuna Boiu Mare, Sat SAT BOIU MARE, Numar 204, Bloc/Scara , Sector , Cod postal 437060;;;;
Maramures;3626921;COMUNA MOISEI;Comuna Moisei;Maramures, Comuna Moisei, STRADA PRINCIPALA, Numar 1300, Bloc/Scara , Sector , Cod postal 437195;;;;
Maramures;3626956;COMUNA IEUD;Comuna Ieud;Maramures, Comuna Ieud, STRADA PRINCIPALA, Numar 147, Bloc/Scara , Sector , Cod postal 437170;;;;
Maramures;3626999;CENTRUL SCOLAR DE EDUCATIE INCLUZIVA SIGHETU MARMATIEI;Municipiul Sighetu Marmatiei;Maramures, Municipiul Sighetu Marmatiei, STRADA TISEI, Numar 1, Bloc/Scara , Sector , Cod postal 435500;3627315;JUDETUL MARAMURES;13729380;Ministerul Educatiei Nationale
Maramures;3627005;COLEGIUL TEHNIC  ANGHEL SALIGNY;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA Progresului, Numar 43, Bloc/Scara , Sector , Cod postal 430291;3627692;MUNICIPIUL BAIA MARE;13729380;MINISTERUL EDUCATIEI NATIONALE
Maramures;3627021;CASA JUDETEANA DE PENSII;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA Hortensiei, Numar 1A, Bloc/Scara , Sector , Cod postal 430294;4266669;Ministerul Muncii si Protectiei Sociale;4266669;Ministerul Muncii si Protectiei Sociale
Maramures;3627056;CENTRUL SCOLAR DE EDUCATIE INCLUZIVA VISEU DE SUS;Orasul Viseu de Sus;Maramures, Orasul Viseu de Sus, STRADA 22DECEMBRIE, Numar 30, Bloc/Scara , Sector , Cod postal 435700;13729380;MINISTERUL EDUCATIEI NATIONALE;3627315;CONSILIUL JUDETEAN MARAMURES
Maramures;3627064;AGENTIA JUDETEANA PENTRU OCUPAREA FORTEI DE MUNCA;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA HORTENSIEI, Numar 1A, Bloc/Scara , Sector , Cod postal 430294;4266669;MINISTERUL MUNCII FAMILIEI PROTECTIEI SOCIALE SI PERS VARSTNICE;;
Maramures;3627099;COMUNA COROIENI;Comuna Coroieni;Maramures, Comuna Coroieni, STRADA COROIENI, Numar 161, Bloc/Scara , Sector , Cod postal 437126;;;;
Maramures;3627102;OFICIUL DE STUDII PEDOLOGICE SI AGROCHIMICE MARAMURES;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA GHEORGHE SINCAI, Numar 46, Bloc/Scara , Sector , Cod postal 430311;4221187;MINISTERUL AGRICULTURII SI DEZVOLTARII RURALE;;
Maramures;3627137;INSPECTORATUL PENTRU SITUATII DE URGENTA GH.POP DE BASESTI MARAMURES;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA VASILE LUCACIU, Numar 87, Bloc/Scara , Sector , Cod postal 430401;4267095;MINISTERUL AFACERILOR INTERNE;;
Maramures;3627145;Spitalul de Pneumoftiziologie Dr.Nicolae Rusdea Baia Mare;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA Victor Babes, Numar 34, Bloc/Scara , Sector , Cod postal 430092;3627692;Municipiului Baia Mare;;
Maramures;3627161;COMUNA BAITA DE SUB CODRU;Comuna Baita de sub Codru;Maramures, Comuna Baita de sub Codru, STRADA BAITA DE SUB CODRU, Numar 19, Bloc/Scara , Sector , Cod postal 437020;;;;
Maramures;3627170;ORASUL TAUTII MAGHERAUS;Orasul Tautii Magheraus;Maramures, Orasul Tautii Magheraus, STRADA 1, Numar 194, Bloc/Scara , Sector , Cod postal 437345;;;;
Maramures;3627196;COMUNA BOTIZA;Comuna Botiza;Maramures, Comuna Botiza, DRUM , Numar 416, Bloc/Scara , Sector , Cod postal 437065;;;;
Maramures;3627200;COMUNA DESESTI;Comuna Desesti;Maramures, Comuna Desesti, STRADA DESESTI, Numar 190, Bloc/Scara , Sector , Cod postal 437135;;;;
Maramures;3627218;COMUNA LAPUS;Comuna Lapus;Maramures, Comuna Lapus, STRADA LAPUS, Numar 1027, Bloc/Scara , Sector , Cod postal 437175;;;;
Maramures;3627234;CAMINUL PENTRU PERSOANE VARSTNICE;Orasul Baia Sprie;Maramures, Orasul Baia Sprie, STRADA DRAGOS VODA, Numar 67, Bloc/Scara , Sector , Cod postal 435100;3694918;ORAS BAIA SPRIE;;
Maramures;3627269;COMUNA ASUAJU DE SUS;Comuna Asuaju de Sus;Maramures, Comuna Asuaju de Sus,  , Numar 283, Bloc/Scara , Sector , Cod postal 437015;;;;
Maramures;3627277;COMUNA SISESTI;Comuna Sisesti;Maramures, Comuna Sisesti, STRADA SISESTI, Numar 430, Bloc/Scara , Sector , Cod postal 437325;;;;
Maramures;3627307;AGENTIA PENTRU PROTECTIA MEDIULUI MARAMURES;Municipiul Baia Mare;Maramures, Municipiul Baia Mare, STRADA IZA, Numar 1A, Bloc/Scara , Sector , Cod postal 430073;16335444;MINISTERUL MEDIULUI APELOR SI PADURILOR;;
